site_id,bs_id,scenario,sector_az_deg,lat,lon,total_MHz,used_MHz,util_pct,attached_users,demand_Mbps,served_Mbps
19,59,RMA,270.0,43.78704,-79.58725,20.0,20.0,100.0,1467,570.16,191.19
20,60,RMA,30.0,43.78704,-79.52891,20.0,20.0,100.0,816,317.76,187.96
20,61,RMA,150.0,43.78704,-79.52891,20.0,20.0,100.0,745,307.58,184.74
20,62,RMA,270.0,43.78704,-79.52891,20.0,20.0,100.0,645,257.44,171.61
21,63,RMA,30.0,43.78704,-79.47057,20.0,20.0,100.0,964,394.5,184.21
21,64,RMA,150.0,43.78704,-79.47057,20.0,20.0,100.0,832,330.15,183.72
21,65,RMA,270.0,43.78704,-79.47057,20.0,20.0,100.0,768,310.19,180.8
22,66,RMA,30.0,43.78704,-79.41223,20.0,20.0,100.0,3118,1250.26,237.54
22,67,RMA,150.0,43.78704,-79.41223,20.0,20.0,100.0,3047,1207.28,242.89
22,68,RMA,270.0,43.78704,-79.41223,20.0,19.999,100.0,2906,1179.22,243.04
23,69,RMA,30.0,43.78704,-79.35389,20.0,20.0,100.0,2017,809.86,240.11
23,70,RMA,150.0,43.78704,-79.35389,20.0,20.0,100.0,2216,879.62,239.6
23,71,RMA,270.0,43.78704,-79.35389,20.0,20.0,100.0,2385,948.95,238.42
24,72,RMA,30.0,43.78704,-79.29556,20.0,19.999,100.0,1362,519.83,203.8
24,73,RMA,150.0,43.78704,-79.29556,20.0,20.0,100.0,1321,532.02,208.03
24,74,RMA,270.0,43.78704,-79.29556,20.0,19.999,100.0,1426,566.86,207.11
25,75,RMA,30.0,43.78704,-79.23722,20.0,20.0,100.0,1150,426.64,201.14
25,76,RMA,150.0,43.78704,-79.23722,20.0,20.0,100.0,971,360.98,186.87
25,77,RMA,270.0,43.78704,-79.23722,20.0,20.0,100.0,1214,512.4,211.56
26,78,RMA,30.0,43.78704,-79.12054,20.0,19.999,100.0,811,314.11,167.13
26,79,RMA,150.0,43.78704,-79.12054,20.0,20.0,100.0,442,172.32,143.0
26,80,RMA,270.0,43.78704,-79.12054,20.0,20.0,100.0,1100,399.19,182.98
27,81,RMA,30.0,43.82352,-79.4414,20.0,20.0,100.0,942,375.6,169.02
