h3_id,served_users,median_SE_bps_hz,median_SINR_dB
85277463fffffff,9,5.357,24.79
8527616bfffffff,9,6.339,29.35
85270cc7fffffff,9,7.302,33.82
85270c0bfffffff,9,7.76,35.94
85276d1bfffffff,9,5.763,26.68
852b9eaffffffff,9,5.418,25.08
852b96a7fffffff,9,7.046,32.63
852723bbfffffff,9,7.975,36.93
85276c8ffffffff,8,8.381,38.81
852b929bfffffff,8,7.163,33.17
852b9ca7fffffff,8,7.642,35.39
852b9d37fffffff,8,5.909,27.36
852b836ffffffff,8,7.133,33.03
852b92a7fffffff,8,6.538,30.28
852b915bfffffff,8,7.704,35.68
85270d17fffffff,8,8.039,37.23
85270c6bfffffff,8,7.142,33.07
85270e87fffffff,8,6.462,29.92
85270173fffffff,7,6.112,28.3
8527653bfffffff,7,5.744,26.59
85270127fffffff,7,6.007,27.81
85270d8bfffffff,7,6.957,32.22
85276cdbfffffff,7,5.633,26.08
850ecb3bfffffff,7,6.185,28.64
852b9207fffffff,7,6.172,28.58
852770d7fffffff,7,4.688,21.68
852ab2b3fffffff,7,5.744,26.59
85272e6ffffffff,7,9.2,42.61
850ed913fffffff,7,6.979,32.32
85270e93fffffff,7,4.521,20.9
852776bbfffffff,7,14.342,66.42
852b98cbfffffff,7,6.836,31.65
850edb67fffffff,7,6.698,31.02
852b90d3fffffff,7,6.837,31.66
8527616ffffffff,7,6.956,32.21
85276c33fffffff,6,9.622,44.56
852b9357fffffff,6,7.175,33.23
852770d3fffffff,6,9.31,43.12
852b906ffffffff,6,6.443,29.83
852b9dd7fffffff,6,7.517,34.81
85272a57fffffff,6,5.661,26.21
852b93c7fffffff,6,5.524,25.57
850ec96ffffffff,6,4.551,21.03
852b8363fffffff,6,13.761,63.73
852b9c17fffffff,6,6.688,30.97
852b9e93fffffff,6,7.48,34.64
850ed93bfffffff,6,7.757,35.92
85276397fffffff,6,7.373,34.14
852761b3fffffff,6,8.559,39.64
852b9113fffffff,6,6.398,29.62
850eca0ffffffff,6,5.818,26.94
852b8e5bfffffff,6,5.656,26.18
8527704bfffffff,6,6.003,27.79
85272bdbfffffff,6,4.262,19.69
852b934ffffffff,6,5.721,26.48
85270e77fffffff,5,5.954,27.57
852763b7fffffff,5,6.76,31.3
850ecbcbfffffff,5,8.212,38.03
85276113fffffff,5,8.792,40.72
8527607bfffffff,5,8.08,37.42
850ecb87fffffff,5,5.036,23.3
85270dbbfffffff,5,7.979,36.95
852b9d13fffffff,5,9.874,45.73
852701cbfffffff,5,6.557,30.36
85270dc7fffffff,5,7.362,34.09
852761b7fffffff,5,6.298,29.16
8527614bfffffff,5,5.456,25.25
852b9657fffffff,5,8.598,39.82
852b81abfffffff,5,7.929,36.72
852b9d5bfffffff,5,8.952,41.46
85270dcffffffff,5,8.379,38.81
85276127fffffff,5,8.37,38.76
852b968ffffffff,5,7.592,35.16
852b9297fffffff,5,4.646,21.48
8527729bfffffff,5,6.135,28.41
850edba7fffffff,5,5.904,27.33
852b9d9bfffffff,5,8.037,37.22
852b9327fffffff,5,6.004,27.8
852b9623fffffff,5,7.1,32.88
85270eb7fffffff,5,9.241,42.8
852b93a3fffffff,5,5.914,27.38
852ab697fffffff,4,6.428,29.77
8527617bfffffff,4,6.531,30.24
852b906bfffffff,4,7.381,34.18
852b934bfffffff,4,8.382,38.82
85270157fffffff,4,5.293,24.5
852b9c53fffffff,4,6.09,28.19
852b938ffffffff,4,5.792,26.81
85270d57fffffff,4,6.087,28.18
850eda03fffffff,4,12.994,60.18
852708c3fffffff,4,6.767,31.34
852b927bfffffff,4,7.985,36.98
850eda3bfffffff,4,5.804,26.87
852b9d87fffffff,4,6.848,31.71
852b9eb7fffffff,4,8.031,37.19
850ec94bfffffff,4,5.135,23.76
85277647fffffff,4,5.437,25.17
852708dbfffffff,4,8.731,40.43
852761bbfffffff,4,9.404,43.55
852b98c3fffffff,4,5.064,23.43
85276c77fffffff,4,6.342,29.35
852b9617fffffff,4,6.952,32.19
85276627fffffff,4,7.583,35.11
8527016ffffffff,4,7.74,35.84
852b9ddbfffffff,4,6.823,31.6
850ed067fffffff,4,7.972,36.92
850ed98ffffffff,4,11.27,52.2
85270ed3fffffff,4,8.043,37.25
85276077fffffff,4,7.096,32.84
85276d77fffffff,4,6.713,31.08
852b93a7fffffff,4,6.376,29.53
850eda27fffffff,4,7.974,36.93
85276ec3fffffff,4,7.94,36.77
8527705bfffffff,4,8.11,37.56
8527744bfffffff,4,7.504,34.75
85272563fffffff,4,9.656,44.72
852b962bfffffff,4,8.693,40.26
852b9e43fffffff,4,6.119,28.32
852b91c3fffffff,4,5.717,26.46
85276ca3fffffff,4,9.321,43.17
85270e27fffffff,4,8.175,37.86
85276cd3fffffff,3,8.525,39.48
852b9c93fffffff,3,8.903,41.23
85276c1bfffffff,3,4.455,20.6
852b9d23fffffff,3,3.971,18.33
85272b17fffffff,3,3.896,17.98
852b9663fffffff,3,4.655,21.53
85276137fffffff,3,9.086,42.08
852ab51bfffffff,3,7.144,33.08
850ec80ffffffff,3,9.997,46.3
852b9cc7fffffff,3,3.95,18.23
852b9d8bfffffff,3,5.389,24.95
852b9c2ffffffff,3,10.176,47.13
85276ed7fffffff,3,5.579,25.83
85277417fffffff,3,6.133,28.4
852766abfffffff,3,7.317,33.89
852b9697fffffff,3,5.03,23.27
85270eaffffffff,3,9.609,44.5
852b818ffffffff,3,5.53,25.6
852b9007fffffff,3,7.879,36.49
852b9ca3fffffff,3,4.971,23.0
85270d1bfffffff,3,9.252,42.85
852761abfffffff,3,7.19,33.3
852b914ffffffff,3,7.557,35.0
852b9693fffffff,3,4.288,19.81
8527089bfffffff,3,7.702,35.67
85270db3fffffff,3,5.884,27.24
85270117fffffff,3,9.454,43.78
85272a67fffffff,3,5.367,24.84
852ab283fffffff,2,7.703,35.67
852b8237fffffff,2,12.073,55.91
850ed85bfffffff,2,9.912,45.9
852b9303fffffff,2,6.768,31.34
852b826ffffffff,2,10.571,48.96
85276147fffffff,2,7.211,33.39
852b9c4bfffffff,2,8.505,39.39
85276143fffffff,2,9.997,46.3
8527610bfffffff,2,9.19,42.56
850ecbaffffffff,2,8.615,39.89
852b9313fffffff,2,6.592,30.41
852b9cabfffffff,2,7.885,36.52
850eca43fffffff,2,8.872,41.09
85277013fffffff,2,9.275,42.94
8527017bfffffff,2,9.116,42.22
85276053fffffff,2,7.315,33.88
852b9c77fffffff,2,3.898,17.73
8527609bfffffff,2,11.549,53.49
852776dbfffffff,2,10.948,50.7
85276ec7fffffff,2,8.461,39.15
85277687fffffff,2,7.729,35.79
852b922bfffffff,2,8.994,41.65
852b96c7fffffff,2,11.863,54.94
8527618bfffffff,2,7.609,35.24
852b9067fffffff,2,10.927,50.6
852b9e73fffffff,2,6.998,32.41
852b92a3fffffff,2,4.83,22.33
852b93d3fffffff,2,9.38,43.44
8527743bfffffff,2,6.246,28.92
852b96cffffffff,2,6.94,32.12
8527660bfffffff,2,4.263,19.69
850ec92bfffffff,2,6.551,30.33
852776a7fffffff,2,7.169,33.19
85276c97fffffff,2,9.077,42.04
852b917bfffffff,2,7.756,35.92
85272077fffffff,2,5.418,25.07
850ed677fffffff,2,7.198,33.33
852b902ffffffff,2,5.752,26.63
85270c93fffffff,2,6.946,32.16
850edbc7fffffff,2,8.957,41.48
852b92b7fffffff,2,5.73,26.52
850ecb8bfffffff,2,8.348,38.66
852b98dbfffffff,2,5.211,24.12
852b9997fffffff,2,9.091,42.1
850edb03fffffff,2,10.574,48.97
852b9333fffffff,2,17.244,79.86
852b916bfffffff,2,6.522,30.2
852b8267fffffff,2,5.286,24.43
852b9cd3fffffff,2,9.662,44.74
852ab0c7fffffff,1,9.951,46.09
850ed673fffffff,1,9.065,41.98
85272a53fffffff,1,3.483,16.02
8527284bfffffff,1,10.457,48.43
852b9377fffffff,1,12.151,56.27
85276c73fffffff,1,6.642,30.76
852b9077fffffff,1,13.465,62.36
8527638ffffffff,1,5.141,23.79
852701bbfffffff,1,6.288,29.12
850ed863fffffff,1,5.537,25.63
852b93b7fffffff,1,8.443,39.1
85270147fffffff,1,5.402,25.01
85272a7bfffffff,1,13.686,63.38
85276edbfffffff,1,4.788,22.15
852b907bfffffff,1,10.43,48.3
852b93d7fffffff,1,8.851,40.99
85270e33fffffff,1,6.177,28.6
85270893fffffff,1,5.221,24.16
852775d3fffffff,1,5.046,23.35
85276e93fffffff,1,7.606,35.22
85276c7bfffffff,1,9.047,41.9
852b9ec3fffffff,1,8.793,40.72
852b9c0bfffffff,1,10.691,49.51
852b9257fffffff,1,5.96,27.59
850ecb33fffffff,1,15.794,73.15
850ec947fffffff,1,8.194,37.95
850ec95bfffffff,1,10.397,48.15
852b834ffffffff,1,5.383,24.92
852b9c27fffffff,1,5.729,26.52
85277297fffffff,1,6.102,28.25
852b9443fffffff,1,5.178,23.96
852b9e6bfffffff,1,10.121,46.87
852b9c03fffffff,1,7.329,33.94
852b830ffffffff,1,5.856,27.11
852b9263fffffff,1,13.738,63.62
852b98d7fffffff,1,9.761,45.21
85270d03fffffff,1,11.628,53.85
852b9e13fffffff,1,4.676,21.63
85270d73fffffff,1,6.092,28.21
852b9c5bfffffff,1,12.089,55.99
852b9003fffffff,1,7.69,35.61
852b81affffffff,1,6.212,28.77
850edb6ffffffff,1,8.154,37.76
852b9d53fffffff,1,7.703,35.67
8527767bfffffff,1,11.63,53.86
852708d7fffffff,1,4.284,19.79
85277633fffffff,1,7.742,35.85
852b9adbfffffff,1,12.196,56.48
85276cd7fffffff,1,9.419,43.62
852b9103fffffff,1,7.946,36.8
852b912bfffffff,1,11.406,52.82
8527748bfffffff,1,3.985,18.39
850edba3fffffff,1,10.975,50.83
852b9d2ffffffff,1,5.665,26.22
852b9027fffffff,1,8.039,37.23
8527612ffffffff,1,7.81,36.17
8527611bfffffff,1,13.184,61.06
852b9c37fffffff,1,15.968,73.95
85276153fffffff,1,11.952,55.35
852b90affffffff,1,16.656,77.14
850ed92ffffffff,1,11.353,52.58
85277403fffffff,1,13.358,61.87
850ecb9bfffffff,1,4.709,21.78
850ed923fffffff,1,6.678,30.92
85272933fffffff,1,10.538,48.8
852b9643fffffff,1,15.476,71.67
852b965bfffffff,1,4.144,19.14
8527744ffffffff,1,10.244,47.44
85277653fffffff,1,12.532,58.04
850edb0bfffffff,1,9.509,44.04
852b9e63fffffff,1,10.377,48.06
852b947bfffffff,1,7.374,34.15
852b9373fffffff,1,12.481,57.8
852b9153fffffff,1,4.708,21.78
85270cb3fffffff,1,11.822,54.75
850eca6bfffffff,1,10.35,47.94
85276cc7fffffff,1,4.709,21.78
85276c57fffffff,1,8.469,39.22
85276ccffffffff,1,6.118,28.33
850ec827fffffff,1,11.576,53.61
85270c87fffffff,1,7.0,32.42
852703b7fffffff,1,9.925,45.96
850edb83fffffff,1,13.98,64.74
852b9473fffffff,1,13.015,60.27
85276517fffffff,1,12.607,58.38
850ecb27fffffff,1,6.206,28.74
85276543fffffff,1,9.377,43.43
852b90bbfffffff,1,13.449,62.28
852760b7fffffff,1,11.451,53.03
852b9277fffffff,1,12.844,59.48
852b9033fffffff,1,13.261,61.42
852b926bfffffff,1,7.14,33.07
852763bbfffffff,1,7.833,36.27
852b9063fffffff,1,11.392,52.76
85276047fffffff,1,12.598,58.35
852b928bfffffff,1,10.421,48.26
852b9347fffffff,1,12.428,57.56
852b90cbfffffff,1,11.415,52.86
852b9c67fffffff,1,3.947,18.21
852b9dcffffffff,1,8.62,39.92
850ec8cffffffff,1,10.155,47.03
852729abfffffff,1,10.606,49.12
852b9ecbfffffff,1,3.739,17.23
852b92abfffffff,1,5.636,26.09
852b9c57fffffff,1,4.017,18.54
852b930bfffffff,1,9.312,43.13
852b922ffffffff,1,9.204,42.63
85272c23fffffff,1,7.817,36.2
85276c93fffffff,1,7.214,33.41
852723a7fffffff,1,11.951,55.35
852701a7fffffff,1,6.085,28.18
85272cdbfffffff,1,8.837,40.93
