h3_id,served_users,median_SE_bps_hz,median_SINR_dB
852ab62ffffffff,9346,4.461,20.62
852ab437fffffff,9284,4.777,22.1
852b8e7bfffffff,9184,4.785,22.14
852ab203fffffff,9182,5.111,23.65
852b9a13fffffff,9042,4.584,21.19
852ab43bfffffff,9036,4.787,22.14
85276923fffffff,9001,4.225,19.52
852763a7fffffff,8981,5.326,24.65
852b9a3bfffffff,8975,4.286,19.8
852b9acbfffffff,8740,4.473,20.68
85270167fffffff,8533,4.646,21.49
852ab5d3fffffff,8492,5.019,23.22
852b9817fffffff,8434,5.715,26.46
852ab093fffffff,8393,4.551,21.04
852ab633fffffff,8157,4.721,21.84
852b816bfffffff,8153,5.282,24.45
852ab40bfffffff,8064,4.711,21.79
852b9dbbfffffff,8041,5.224,24.18
852b984bfffffff,7883,6.059,28.05
852b987bfffffff,7813,5.03,23.27
852b944ffffffff,7759,4.247,19.62
850ecbdbfffffff,7681,4.884,22.59
852b8ec7fffffff,7661,4.694,21.71
852769b3fffffff,7601,4.943,22.87
852ab043fffffff,7416,4.771,22.07
852ab443fffffff,7410,4.762,22.03
852b822ffffffff,7324,5.007,23.17
852b9a83fffffff,6908,5.787,26.79
852b9847fffffff,6844,5.578,25.82
852b9a6ffffffff,6739,5.152,23.84
852b914bfffffff,6678,3.695,17.03
852ab6bbfffffff,6620,5.573,25.8
852ab4cffffffff,6599,4.924,22.78
852ab433fffffff,6554,5.156,23.86
852b9d6ffffffff,6554,5.559,25.73
852ab6b7fffffff,6519,5.145,23.81
852b9a9bfffffff,6466,5.625,26.04
852b816ffffffff,6427,5.258,24.33
852b9353fffffff,6213,5.681,26.3
852ab287fffffff,6157,4.988,23.08
852b9a63fffffff,6155,4.918,22.75
852b9e2ffffffff,6118,4.871,22.54
852ab04bfffffff,6082,4.734,21.9
852ab417fffffff,5935,5.461,25.28
852ab42bfffffff,5930,5.544,25.67
852b9a33fffffff,5901,5.391,24.95
852ab4abfffffff,5781,5.567,25.77
852b9e27fffffff,5778,5.349,24.76
852ab09bfffffff,5721,5.383,24.92
852b8e8bfffffff,5611,5.435,25.16
85270c9bfffffff,5570,5.035,23.3
852b9a97fffffff,5498,5.73,26.53
852b8107fffffff,5450,4.694,21.71
852b9a2bfffffff,5418,5.439,25.18
852b8163fffffff,5314,5.255,24.32
852b8173fffffff,5223,5.079,23.5
852ab5cbfffffff,5145,6.295,29.15
852b8277fffffff,5144,5.47,25.32
852ab2bbfffffff,5105,5.434,25.15
852ab293fffffff,5046,4.436,20.51
85276c83fffffff,5029,4.777,22.09
852b8e9bfffffff,5013,5.126,23.72
85270177fffffff,4844,4.329,20.01
852b9d7bfffffff,4832,4.678,21.63
8527088bfffffff,4824,4.58,21.18
852b9dabfffffff,4816,5.682,26.31
852b9d33fffffff,4804,5.393,24.96
85276993fffffff,4792,5.643,26.13
852b98d3fffffff,4674,5.511,25.51
852769affffffff,4633,5.277,24.42
852b9a6bfffffff,4556,5.185,24.0
85272bcbfffffff,4533,4.977,23.03
852b9c63fffffff,4503,5.526,25.58
852b9d57fffffff,4453,4.234,19.56
852b8e57fffffff,4399,6.07,28.11
852b9833fffffff,4390,5.557,25.72
852b909bfffffff,4304,4.153,19.18
852b9873fffffff,4288,6.086,28.18
852b9a57fffffff,4269,4.946,22.88
852b910bfffffff,4222,6.811,31.54
852b8353fffffff,4190,5.65,26.16
852b9a2ffffffff,4187,5.987,27.72
852ab447fffffff,4176,5.223,24.17
850ec94ffffffff,4151,5.48,25.37
852ab42ffffffff,4147,5.793,26.82
852b9d0bfffffff,4115,5.673,26.26
852b988ffffffff,4021,6.601,30.57
852b8143fffffff,4015,4.402,20.35
852b9b6ffffffff,3956,5.483,25.38
852ab4affffffff,3949,5.93,27.45
85276d2bfffffff,3905,5.259,24.34
852b9d4ffffffff,3849,5.192,24.03
852b810ffffffff,3845,5.955,27.57
852b9a0bfffffff,3799,5.08,23.51
852ab053fffffff,3794,5.522,25.56
852769b7fffffff,3784,5.906,27.35
852b9a67fffffff,3776,5.558,25.73
852b9807fffffff,3670,6.017,27.86
852b9d67fffffff,3641,5.758,26.66
852ab0dbfffffff,3531,5.644,26.13
852b9a8ffffffff,3523,5.022,23.24
852ab4c7fffffff,3505,5.58,25.83
852ab6abfffffff,3473,5.98,27.69
852b981bfffffff,3440,5.258,24.33
852b811bfffffff,3390,5.436,25.16
852b9a4bfffffff,3382,5.739,26.57
